"param_row","AIC"
1,-2.76932902604273
2,-2.76932902559414
3,-2.76932902775023
4,-2.76932902691343
5,-2.76932902628734
6,-2.76932902674888
7,-2.76932902623149
8,-2.76932902627944
9,-2.76932902704072
10,-2.76932902706474
11,-2.76932902568638
12,-2.76932902692456
13,-2.76932902371432
14,-2.76932902698706
15,-2.76932902774731
16,-2.76932902452103
17,-2.7693290256253
18,-2.76932902695338
19,-2.76932902579928
20,-2.76932902642346
21,-2.76932902635049
22,-2.76932902484603
23,-2.76932902694668
24,-2.76932902761309
25,-2.76932902424574
26,-2.76932902738723
27,-2.76932902750035
28,-2.7693290252712
29,-2.76932902431583
30,-2.76932902696499
31,-2.76932902430897
32,-2.76932902543476
33,-2.76932902489587
34,-2.76932902584653
35,-2.76932902777606
36,-2.76932902541754
37,-2.7693290242942
38,-2.76932902412902
39,-2.76932902608144
40,-2.76932902384703
41,-2.76932902711412
42,-2.76932902615892
43,-2.76932902636566
44,-2.76932902639875
45,-2.7693290265473
46,-2.76932902712286
47,-2.76932902558061
48,-2.76932902696162
49,-2.76932902700697
50,-2.76932902607803
51,-2.76932902759986
52,-2.76932902653785
53,-2.76932902704106
54,-2.76932902688669
55,-2.76932902627719
56,-2.76932902376163
57,-2.76932902789345
58,-2.76932902489864
59,-2.7693290254779
60,-2.76932902649486
61,-2.76932902370216
62,-2.76932902674474
63,-2.76932902680338
64,-2.76932902611691
65,-2.76932902791616
66,-2.76932902672619
67,-2.76932902627043
68,-2.7693290244934
69,-2.76932902735011
70,-2.76932902710577
71,-2.7693290268286
72,-2.76932902342816
73,-2.76932902401204
74,-2.76932902626866
75,-2.76932902689529
76,-2.76932902782525
77,-2.76932902545101
78,-2.76932902376687
79,-2.76932902649135
80,-2.76932902693211
81,-2.76932902581007
82,-2.76932902509835
83,-2.76932902370756
84,-2.76932902532674
85,-2.7693290259987
86,-2.76932902583023
87,-2.76932902630753
88,-2.76932902633072
89,-2.76932902612204
90,-2.76932902625873
91,-2.76932902500461
92,-2.76932902579154
93,-2.76932902297988
94,-2.76932902676446
95,-2.76932902482962
96,-2.76932902662076
97,-2.769329023765
98,-2.76932902744521
99,-2.76932902742113
100,-2.76932902679162
101,-2.76932902729895
102,-2.76932902701425
103,-2.76932902548464
104,-2.76932902748843
105,-2.76932902624905
106,-2.76932902776763
107,-2.76932902635745
108,-2.76932902648232
109,-2.76932902590855
110,-2.76932902687384
111,-2.76932902334559
112,-2.76932902761239
113,-2.76932902536545
114,-2.76932902693331
115,-2.76932902630216
116,-2.76932902621107
117,-2.76932902687571
118,-2.76932902672085
119,-2.76932902628377
120,-2.76932902670096
121,-2.76932902649933
122,-2.76932902626128
123,-2.76932902600242
124,-2.76932902664225
125,-2.76932902703602
126,-2.76932902662911
127,-2.7693290263858
128,-2.76932902693095
129,-2.76932902632631
130,-2.76932902465883
131,-2.76932902705589
132,-2.76932902622409
133,-2.76932902637109
134,-2.76932902485248
135,-2.76932902650393
136,-2.7693290261296
137,-2.76932902682749
138,-2.76932902678242
139,-2.76932902507134
140,-2.76932902666672
141,-2.76932902426691
142,-2.76932902490595
143,-2.76932902343653
144,-2.76932902382223
145,-2.76932902711003
146,-2.76932902757146
147,-2.76932902549107
148,-2.76932902509433
149,-2.76932902764872
150,-2.76932902748153
151,-2.76932902773331
152,-2.76932902688109
153,-2.76932902757426
154,-2.76932902724123
155,-2.76932902724983
156,-2.76932902438476
157,-2.76932902743261
158,-2.76932902690383
159,-2.76932902490194
160,-2.76932902771093
161,-2.76932902717436
162,-2.76932902418276
163,-2.76932902657805
164,-2.76932902786153
165,-2.76932902752474
166,-2.7693290238468
167,-2.76932902315081
168,-2.76932902787014
169,-2.76932902711784
170,-2.76932902609274
171,-2.76932902496516
172,-2.76932902289857
173,-2.76932902346948
174,-2.76932902586557
175,-2.76932902716243
176,-2.76932902770242
177,-2.76932902486272
178,-2.76932902474345
179,-2.76932902500191
180,-2.7693290233438
181,-2.76932902557712
182,-2.76932902753545
183,-2.76932902702985
184,-2.76932902695881
185,-2.76932902524164
186,-2.76932902516814
187,-2.76932902658548
188,-2.76932902747784
189,-2.76932902647002
190,-2.76932902787449
191,-2.76932902534278
192,-2.76932902523889
193,-2.76932902652
194,-2.76932902660113
195,-2.76932902596796
196,-2.769329026736
197,-2.76932902602943
198,-2.76932902745483
199,-2.76932902669421
200,-2.76932902700542
201,-2.76932902556948
202,-2.76932902697746
203,-2.76932902513357
204,-2.7693290230155
205,-2.76932902460982
206,-2.76932902715461
207,-2.7693290273259
208,-2.76932902565251
209,-2.76932902788988
210,-2.7693290279007
211,-2.76932902675527
212,-2.76932902711584
213,-2.76932902340417
214,-2.76932902745054
215,-2.76932902692116
216,-2.7693290276066
217,-2.76932902619032
218,-2.76932902768912
219,-2.7693290278788
220,-2.76932902438275
221,-2.76932902485739
222,-2.7693290248577
223,-2.76932902647566
224,-2.76932902641319
225,-2.76932902705768
226,-2.7693290270001
227,-2.76932902746564
228,-2.76932902610744
229,-2.76932902748804
230,-2.76932902772209
231,-2.76932902768537
232,-2.76932902607872
233,-2.76932902738344
234,-2.76932902762188
235,-2.76932902681343
236,-2.76932902781252
237,-2.76932902656771
238,-2.76932902661847
239,-2.76932902643006
240,-2.76932902617637
241,-2.7693290242576
242,-2.76932902732119
243,-2.76932902758571
244,-2.76932902773446
245,-2.76932902745948
