"param_row","AIC"
1,-203.459533559537
2,-203.459533559537
3,-203.459533559537
4,-203.459533559537
5,-203.459533559537
6,-203.459533559537
7,-203.459533559537
8,-203.459533559537
9,-203.459533559537
10,-203.459533559537
11,-203.459533559537
12,-203.459533559537
13,-203.459533559537
14,-203.459533559537
15,-203.459533559537
16,-203.459533559537
17,-203.459533559537
18,-203.459533559537
19,-203.459533559537
20,-203.459533559537
21,-203.459533559537
22,-203.459533559537
23,-203.459533559537
24,-203.459533559537
25,-203.459533559537
26,-203.459533559537
27,-203.459533559537
28,-203.459533559537
29,-203.459533559537
30,-203.459533559537
31,-203.459533559537
32,-203.459533559537
33,-203.459533559537
34,-203.459533559537
35,-203.459533559537
36,-203.459533559537
37,-203.459533559537
38,-203.459533559537
39,-203.459533559537
40,-203.459533559537
41,-203.459533559537
42,-203.459533559537
43,-203.459533559537
44,-203.459533559537
45,-203.459533559537
46,-203.459533559537
47,-203.459533559537
48,-203.459533559537
49,-203.459533559537
50,-203.459533559537
51,-203.459533559537
52,-203.459533559537
53,-203.459533559537
54,-203.459533559537
55,-203.459533559537
56,-203.459533559537
57,-203.459533559537
58,-203.459533559537
59,-203.459533559537
60,-203.459533559537
61,-203.459533559537
62,-203.459533559537
63,-203.459533559537
64,-203.459533559537
65,-203.459533559537
66,-203.459533559537
67,-203.459533559537
68,-203.459533559537
69,-203.459533559537
70,-203.459533559537
71,-203.459533559537
72,-203.459533559537
73,-203.459533559537
74,-203.459533559537
75,-203.459533559537
76,-203.459533559537
77,-203.459533559537
78,-203.459533559537
79,-203.459533559537
80,-203.459533559537
81,-203.459533559537
82,-203.459533559537
83,-203.459533559537
84,-203.459533559537
85,-203.459533559537
86,-203.459533559537
87,-203.459533559537
88,-203.459533559537
89,-203.459533559537
90,-203.459533559537
91,-203.459533559537
92,-203.459533559537
93,-203.459533559537
94,-203.459533559537
95,-203.459533559537
96,-203.459533559537
97,-203.459533559537
98,-203.459533559537
99,-203.459533559537
100,-203.459533559537
101,-203.459533559537
102,-203.459533559537
103,-203.459533559537
104,-203.459533559537
105,-203.459533559537
106,-203.459533559537
107,-203.459533559537
108,-203.459533559537
109,-203.459533559537
110,-203.459533559537
111,-203.459533559537
112,-203.459533559537
113,-203.459533559537
114,-203.459533559537
115,-203.459533559537
116,-203.459533559537
117,-203.459533559537
118,-203.459533559537
119,-203.459533559537
120,-203.459533559537
121,-203.459533559537
122,-203.459533559537
123,-203.459533559537
124,-203.459533559537
125,-203.459533559537
126,-203.459533559537
127,-203.459533559537
128,-203.459533559537
129,-203.459533559537
130,-203.459533559537
131,-203.459533559537
132,-203.459533559537
133,-203.459533559537
134,-203.459533559537
135,-203.459533559537
136,-203.459533559537
137,-203.459533559537
138,-203.459533559537
139,-203.459533559537
140,-203.459533559537
141,-203.459533559537
142,-203.459533559537
143,-203.459533559537
144,-203.459533559537
145,-203.459533559537
146,-203.459533559537
147,-203.459533559537
148,-203.459533559537
149,-203.459533559537
150,-203.459533559537
151,-203.459533559537
