"param_row","AIC"
1,-336.774657877444
2,-336.773401910366
3,-336.765252305803
4,-336.772940610725
5,-336.765248458104
6,-336.775233264012
7,-336.773555769765
8,-336.77422680847
9,-336.75275817784
10,-336.774958502666
11,-336.775205401682
12,-336.75566803163
13,-336.763215788952
14,-336.770412882804
15,-336.77415412518
16,-336.772400429955
17,-336.770218379069
18,-336.748464270065
19,-336.772178791787
20,-336.769628954021
21,-336.773501789412
22,-336.770320531604
23,-336.722986374922
24,-336.686626884623
25,-336.773487278957
26,-336.773876720899
27,-336.77414160808
28,-336.771896445683
29,-336.773879203453
30,-336.766894267725
31,-336.774450620653
32,-336.774379172092
33,-336.765819749691
34,-336.773755471408
35,-336.7752135839
36,-336.773719900331
37,-336.772801404552
38,-336.745481328614
39,-336.774198626022
40,-336.767018880754
41,-336.668806080896
42,-336.750091291794
43,-336.764104445726
44,-336.773475749748
45,-336.770846709544
46,-336.746229936917
47,-336.773549839165
48,-336.767659421371
49,-336.741683077366
50,-336.772486398455
51,-336.774627261755
52,-336.767943496703
53,-336.773773589649
54,-336.745016715139
55,-336.77504074223
56,-336.774373344909
57,-336.77522884176
58,-336.774365402959
59,-336.770834869228
60,-336.773164203841
61,-336.709124635777
62,-336.767020660707
63,-336.775217082717
64,-336.773921551014
65,-336.768724140271
66,-336.774204161461
67,-336.745637982666
68,-336.775223516047
69,-336.772883491746
70,-336.774361963341
71,-336.760629816907
72,-336.774248514471
73,-336.768265310338
74,-336.774889330051
75,-336.67227440765
76,-336.692404819062
77,-336.771809697414
78,-336.677201111246
79,-336.775202466085
80,-336.774808414909
81,-336.77521204996
82,-336.762972262627
83,-336.773731509952
84,-336.775176730136
85,-336.724666222132
86,-336.775232295469
87,-336.766610321544
88,-336.720344872832
89,-336.773681561091
90,-336.770039783713
91,-336.77484499671
92,-336.774298052216
93,-336.690960906819
94,-336.755027254095
95,-336.773357481395
96,-336.761260246719
97,-336.765743287965
98,-336.774340343182
99,-336.699683227521
100,-336.773275118138
101,-336.689916296087
102,-336.775216675809
103,-336.767406441751
104,-336.774312412074
105,-336.775233137508
106,-336.770222268886
107,-336.742940607171
108,-336.755047351029
109,-336.774681326329
110,-336.694556590004
111,-336.759366844777
112,-336.729168805225
113,-336.77406321673
114,-336.771311616426
115,-336.772145866473
116,-336.775227287997
117,-336.774207994651
118,-336.77426846769
119,-336.775228303267
120,-336.771627572894
121,-336.770198181445
122,-336.722051397572
123,-336.775232782872
124,-336.774917537524
125,-336.740574527243
126,-336.770067103267
127,-336.774476361162
128,-336.772615393748
129,-336.772166941218
130,-336.767863542836
131,-336.768943730856
132,-336.691220008895
133,-336.775058724878
134,-336.774250198104
135,-336.773981737654
136,-336.770593348566
137,-336.756462330337
138,-336.737175997825
139,-336.770740313718
140,-336.77054945928
141,-336.77523218086
142,-336.775233173745
143,-336.750993650136
144,-336.775233286159
145,-336.774268060059
146,-336.775232180944
147,-336.774401439978
148,-336.750855359419
149,-336.71839541963
150,-336.768424682148
151,-336.775028929646
152,-336.713092150104
153,-336.774831278291
154,-336.772276994158
155,-336.775232627991
156,-336.769839134323
157,-336.773552713759
158,-336.714452162166
159,-336.771134555016
160,-336.76925362979
161,-336.772435773016
162,-336.773703536118
163,-336.77384633716
164,-336.774201296741
165,-336.769587035512
166,-336.775233001771
167,-336.760365911714
168,-336.746918093278
169,-336.774346625681
170,-336.775223587827
171,-336.721555176234
172,-336.774354233293
173,-336.773614443703
174,-336.756631699551
175,-336.770907607535
176,-336.726526589247
177,-336.773691912862
178,-336.766303515643
179,-336.775233206244
180,-336.774324490237
181,-336.775182816455
182,-336.775175002701
183,-336.713558528514
184,-336.77412609659
185,-336.774276899907
186,-336.686065453991
187,-336.7741845899
188,-336.774638250116
189,-336.775019661459
190,-336.772324450411
191,-336.775194371796
192,-336.763813714026
193,-336.728347015219
194,-336.733154706458
195,-336.773989793222
196,-336.770661041794
197,-336.77308946156
198,-336.770462363562
199,-336.774202923572
200,-336.76967475815
201,-336.774259088723
202,-336.772018380273
203,-336.774892984643
204,-336.775149603626
205,-336.77358422267
206,-336.774625391931
207,-336.773902215419
208,-336.708169492696
209,-336.728568734409
210,-336.774497687497
211,-336.774154330655
212,-336.774292090527
213,-336.773506715889
214,-336.721961275251
215,-336.769398688546
216,-336.774982660418
217,-336.693936820821
218,-336.775007249571
219,-336.774590597408
220,-336.761344395722
221,-336.769836121716
222,-336.775187690412
223,-336.775232909626
224,-336.763006717871
225,-336.77388538507
226,-336.736728670787
227,-336.774260236072
228,-336.772132863783
229,-336.748783694062
230,-336.696421947379
231,-336.774353986722
232,-336.77107771754
233,-336.772197847626
234,-336.773840283241
235,-336.770002830641
236,-336.70627337609
237,-336.775232415741
238,-336.775232435382
239,-336.652673695866
240,-336.768241219378
241,-336.764799203786
242,-336.722145224495
243,-336.759724459346
244,-336.693037993516
245,-336.774171460937
