"param_row","AIC"
1,-528.011761556423
2,-528.011761560767
3,-528.011761557421
4,-528.011761559372
5,-528.011761559588
6,-528.011761560839
7,-528.011761558718
8,-528.011761559189
9,-528.011761559839
10,-528.011761560815
11,-528.01176155806
12,-528.011761560106
13,-528.011761558813
14,-528.011761559921
15,-528.011761559911
16,-528.011761559677
17,-528.011761557918
18,-528.011761558309
19,-528.011761560741
20,-528.011761560834
21,-528.011761560842
22,-528.011761559095
23,-528.011761560713
24,-528.011761558181
25,-528.011761559868
26,-528.011761558939
27,-528.011761559561
28,-528.011761560312
29,-528.011761557847
30,-528.011761560844
31,-528.011761557792
32,-528.011761560051
33,-528.011761557335
34,-528.011761558819
35,-528.011761560233
36,-528.011761558611
37,-528.011761560822
38,-528.011761558596
39,-528.011761557886
40,-528.011761559194
41,-528.011761560798
42,-528.011761560815
43,-528.011761560658
44,-528.011761559021
45,-528.01176155943
46,-528.011761559469
47,-528.011761555209
48,-528.011761560792
49,-528.011761560799
50,-528.011761556203
51,-528.011761557482
52,-528.011761559343
53,-528.011761560725
54,-528.011761557533
55,-528.011761557884
56,-528.011761558726
57,-528.011761556647
58,-528.011761555399
59,-528.011761557341
60,-528.011761560746
61,-528.011761559063
62,-528.011761558676
63,-528.011761559946
64,-528.011761557292
65,-528.011761560825
66,-528.011761556311
67,-528.011761559643
68,-528.011761560768
69,-528.011761558217
70,-528.011761558292
71,-528.011761556907
72,-528.01176155942
73,-528.011761557582
74,-528.011761557003
75,-528.011761558417
76,-528.011761560831
77,-528.011761559381
78,-528.011761559887
79,-528.011761558962
80,-528.011761559706
81,-528.011761559664
82,-528.01176155707
83,-528.011761558608
84,-528.011761560805
85,-528.011761558417
86,-528.011761559653
87,-528.011761560833
88,-528.011761557161
89,-528.011761557129
90,-528.01176155964
91,-528.011761560208
92,-528.011761556111
93,-528.011761557154
94,-528.011761559955
95,-528.011761559312
96,-528.011761558802
97,-528.011761560095
98,-528.011761560302
99,-528.011761560844
100,-528.011761560838
101,-528.011761559468
102,-528.011761559617
103,-528.011761554859
104,-528.011761560778
105,-528.011761560809
106,-528.011761559948
107,-528.011761557813
108,-528.011761559768
109,-528.011761558344
110,-528.011761559518
111,-528.011761559777
112,-528.011761558972
113,-528.011761556983
114,-528.011761559372
115,-528.011761556987
116,-528.011761559373
117,-528.011761559726
118,-528.011761560771
119,-528.011761560832
120,-528.011761559742
121,-528.011761555996
122,-528.011761559952
123,-528.011761559744
124,-528.011761557523
125,-528.011761559351
126,-528.01176155984
127,-528.011761557659
128,-528.011761558758
129,-528.011761558752
130,-528.011761560203
131,-528.011761560358
132,-528.011761560838
133,-528.011761560719
134,-528.011761559951
135,-528.011761555993
136,-528.011761558193
137,-528.011761559595
138,-528.011761560761
139,-528.011761557146
140,-528.011761559881
