"param_row","AIC"
1,-15.3184717286967
2,-15.3184717286908
3,-15.3184717286766
4,-15.3184717286892
5,-15.3184717286973
6,-15.3184717286933
7,-15.3184717287091
8,-15.3184717287119
9,-15.3184717286941
10,-15.3184717287067
11,-15.318471728715
12,-15.3184717287104
13,-15.3184717286696
14,-15.3184717286718
15,-15.3184717286779
16,-15.3184717286901
17,-15.3184717286976
18,-15.3184717287125
19,-15.3184717287135
20,-15.3184717286804
21,-15.3184717287075
22,-15.3184717287127
23,-15.3184717287127
24,-15.3184717286755
25,-15.3184717286993
26,-15.318471728673
27,-15.3184717287123
28,-15.3184717287116
29,-15.3184717287114
30,-15.3184717286991
31,-15.3184717287122
32,-15.318471728715
33,-15.3184717286921
34,-15.3184717286713
35,-15.3184717287046
36,-15.3184717287076
37,-15.3184717286778
38,-15.3184717286852
39,-15.3184717287142
40,-15.3184717286922
41,-15.3184717286993
42,-15.318471728708
43,-15.3184717286772
44,-15.3184717286778
45,-15.3184717287009
46,-15.3184717286855
47,-15.3184717286868
48,-15.318471728689
49,-15.3184717286736
50,-15.3184717286756
51,-15.3184717286941
52,-15.3184717287091
53,-15.3184717286705
54,-15.3184717286676
55,-15.318471728666
56,-15.3184717287137
57,-15.318471728676
58,-15.3184717286783
59,-15.3184717287028
60,-15.3184717286975
61,-15.3184717287041
62,-15.3184717286926
63,-15.3184717286785
64,-15.3184717287024
65,-15.3184717286935
66,-15.3184717286667
67,-15.3184717287048
68,-15.3184717286773
69,-15.3184717287007
70,-15.3184717286788
71,-15.3184717286817
72,-15.3184717287133
73,-15.3184717286671
74,-15.3184717286657
75,-15.3184717286916
76,-15.3184717286745
77,-15.318471728678
78,-15.3184717286912
79,-15.3184717286696
80,-15.3184717286969
81,-15.318471728703
82,-15.3184717287139
83,-15.318471728707
84,-15.3184717287121
85,-15.31847172868
86,-15.3184717286916
87,-15.3184717286977
88,-15.3184717286714
89,-15.3184717286672
90,-15.3184717287111
91,-15.318471728695
92,-15.3184717286941
93,-15.318471728671
94,-15.3184717287033
95,-15.318471728705
96,-15.3184717286711
97,-15.3184717287114
98,-15.3184717287017
99,-15.3184717287125
100,-15.3184717286959
101,-15.3184717286757
102,-15.3184717287132
103,-15.3184717286736
104,-15.3184717286732
105,-15.3184717287088
106,-15.3184717286689
107,-15.3184717286857
108,-15.3184717286904
109,-15.3184717287079
110,-15.3184717287002
111,-15.3184717286809
112,-15.3184717286836
113,-15.3184717286888
114,-15.3184717286659
115,-15.3184717286692
116,-15.3184717286725
117,-15.3184717287139
118,-15.3184717287126
119,-15.3184717286653
120,-15.3184717287127
121,-15.3184717286677
122,-15.3184717286902
123,-15.318471728672
124,-15.3184717286998
125,-15.3184717286926
126,-15.3184717286867
127,-15.3184717286991
128,-15.3184717286855
129,-15.3184717287112
130,-15.3184717286679
131,-15.318471728688
132,-15.3184717287013
133,-15.3184717286931
134,-15.3184717286837
135,-15.3184717286778
136,-15.3184717286662
137,-15.3184717286671
138,-15.3184717286857
139,-15.318471728709
140,-15.3184717286696
141,-15.3184717287145
142,-15.3184717286962
143,-15.3184717286977
144,-15.318471728688
145,-15.3184717287111
146,-15.3184717287144
147,-15.318471728675
148,-15.3184717286749
149,-15.3184717286657
150,-15.3184717286963
151,-15.3184717287006
152,-15.318471728681
153,-15.318471728682
154,-15.3184717286937
155,-15.3184717286978
156,-15.3184717287119
157,-15.3184717287051
158,-15.3184717286912
159,-15.318471728713
160,-15.3184717287141
161,-15.3184717286827
162,-15.3184717286843
163,-15.3184717287123
164,-15.3184717286932
165,-15.3184717287134
166,-15.3184717286739
167,-15.3184717286864
168,-15.3184717286752
169,-15.3184717286985
170,-15.3184717286976
171,-15.3184717286662
172,-15.318471728713
173,-15.3184717287058
174,-15.3184717286923
175,-15.3184717286885
176,-15.3184717286908
177,-15.3184717287048
178,-15.3184717286864
179,-15.3184717286781
180,-15.3184717286963
181,-15.3184717286766
182,-15.3184717287137
183,-15.3184717287006
184,-15.3184717286899
185,-15.318471728709
186,-15.3184717286717
187,-15.3184717286752
188,-15.3184717286877
189,-15.3184717286919
190,-15.3184717287138
191,-15.3184717286851
192,-15.3184717287128
193,-15.3184717286892
194,-15.3184717286943
195,-15.3184717286684
196,-15.3184717287136
197,-15.3184717287055
198,-15.3184717287012
199,-15.3184717287137
