"param_row","AIC"
1,-120.461438822269
2,-120.461438822341
3,-120.461438822413
4,-120.461438821775
5,-120.461438821737
6,-120.461438822344
7,-120.461438822393
8,-120.461438822345
9,-120.461438822411
10,-120.461438822398
11,-120.461438822287
12,-120.461438822404
13,-120.461438822405
14,-120.46143882202
15,-120.461438821666
16,-120.461438822399
17,-120.461438822229
18,-120.461438822365
19,-120.461438821892
20,-120.461438821969
21,-120.46143882241
22,-120.461438822401
23,-120.461438822408
24,-120.461438822412
25,-120.461438822399
26,-120.461438822381
27,-120.461438821644
28,-120.461438822406
29,-120.461438822395
30,-120.461438821956
31,-120.461438822417
32,-120.461438822053
33,-120.461438822383
34,-120.461438821583
35,-120.461438821739
36,-120.461438822114
37,-120.461438822203
38,-120.461438821654
39,-120.461438822406
40,-120.461438822286
41,-120.461438822166
42,-120.461438821657
43,-120.461438822339
44,-120.461438822412
45,-120.461438821765
46,-120.461438822392
47,-120.461438822391
48,-120.461438822386
49,-120.461438822407
50,-120.461438822391
51,-120.461438822151
52,-120.461438822275
53,-120.461438822402
54,-120.461438821531
55,-120.461438822381
56,-120.461438822131
57,-120.461438822233
58,-120.461438822412
59,-120.461438822283
60,-120.461438822396
61,-120.46143882237
62,-120.461438822403
63,-120.461438821833
64,-120.461438822114
65,-120.461438822346
66,-120.461438822257
67,-120.46143882241
68,-120.461438822408
69,-120.461438821442
70,-120.461438822397
71,-120.461438822399
72,-120.461438822405
73,-120.461438822401
74,-120.461438822385
75,-120.461438822409
76,-120.461438822416
77,-120.461438822345
78,-120.461438822237
79,-120.461438821956
80,-120.461438822398
81,-120.46143882172
82,-120.461438821555
83,-120.461438821557
84,-120.461438822368
85,-120.461438822391
86,-120.461438822223
87,-120.461438822103
88,-120.461438821868
89,-120.461438822401
90,-120.46143882241
91,-120.461438822411
92,-120.461438822135
93,-120.461438822418
94,-120.461438821681
95,-120.461438822404
96,-120.461438822406
97,-120.46143882236
98,-120.461438822407
99,-120.46143882241
100,-120.461438822411
101,-120.461438822369
102,-120.461438822393
103,-120.461438822412
104,-120.461438822411
105,-120.461438822376
106,-120.461438822007
107,-120.461438822398
108,-120.46143882241
109,-120.461438821986
110,-120.461438822348
111,-120.461438822136
112,-120.461438822388
113,-120.46143882241
114,-120.461438822367
115,-120.461438821675
116,-120.461438821522
117,-120.461438822223
118,-120.461438822393
119,-120.461438822369
120,-120.461438822403
121,-120.461438822396
122,-120.461438821834
123,-120.461438822377
124,-120.461438821467
125,-120.461438822342
126,-120.461438822205
127,-120.461438822386
128,-120.461438822395
129,-120.461438822411
130,-120.461438822403
131,-120.461438822412
132,-120.461438822391
133,-120.461438822324
134,-120.461438822398
135,-120.461438822405
136,-120.461438822395
137,-120.461438822254
138,-120.461438822374
139,-120.461438822396
140,-120.461438822411
141,-120.461438822406
142,-120.461438822391
143,-120.461438822094
144,-120.46143882226
145,-120.461438822392
146,-120.461438822412
147,-120.461438822394
148,-120.461438822405
149,-120.461438821899
150,-120.461438822233
151,-120.461438822381
152,-120.461438822228
153,-120.461438822415
154,-120.461438822408
155,-120.46143882176
156,-120.461438822412
157,-120.461438822408
158,-120.461438822193
159,-120.461438822411
160,-120.461438821975
161,-120.461438821782
162,-120.461438822408
163,-120.461438822316
164,-120.461438822179
165,-120.461438822396
166,-120.46143882217
167,-120.461438822
168,-120.461438822358
169,-120.461438822409
170,-120.461438822383
171,-120.46143882242
172,-120.461438822379
173,-120.461438822398
174,-120.461438822366
175,-120.461438821749
176,-120.461438822376
177,-120.461438822253
178,-120.461438821652
179,-120.461438822399
180,-120.46143882232
181,-120.461438822411
182,-120.461438822393
183,-120.461438822028
184,-120.46143882239
185,-120.461438821458
186,-120.461438822393
187,-120.461438822347
188,-120.461438822401
189,-120.461438822412
190,-120.461438822082
191,-120.46143882242
192,-120.461438822414
193,-120.461438822399
194,-120.461438822411
195,-120.461438822406
196,-120.46143882216
197,-120.461438822409
198,-120.461438821906
199,-120.461438822402
200,-120.461438822252
201,-120.461438822374
202,-120.461438821511
203,-120.461438822136
204,-120.461438822401
205,-120.461438822393
206,-120.461438822405
207,-120.461438822015
208,-120.461438822409
209,-120.461438822375
210,-120.461438822308
211,-120.461438822338
212,-120.461438822411
213,-120.46143882212
214,-120.461438822323
215,-120.461438822323
216,-120.461438821594
217,-120.461438822336
218,-120.461438822326
219,-120.46143882241
220,-120.461438822257
221,-120.461438822392
222,-120.46143882212
223,-120.461438821705
224,-120.461438822353
225,-120.461438822406
226,-120.46143882241
227,-120.461438822404
228,-120.461438822217
229,-120.46143882242
230,-120.461438822406
231,-120.461438822319
232,-120.461438821755
233,-120.461438822371
234,-120.461438821936
235,-120.461438822394
236,-120.461438822168
237,-120.461438822412
238,-120.461438822071
239,-120.461438822396
240,-120.461438822398
241,-120.461438821597
242,-120.461438822392
243,-120.461438822404
244,-120.461438822402
245,-120.461438822326
246,-120.46143882241
247,-120.461438822358
248,-120.461438822408
249,-120.461438822387
250,-120.461438822406
251,-120.461438821534
252,-120.461438822403
253,-120.461438822387
254,-120.46143882234
255,-120.461438821958
256,-120.461438822403
257,-120.461438822411
258,-120.461438822014
259,-120.461438822383
260,-120.4614388224
261,-120.46143882241
262,-120.461438821985
263,-120.461438821955
264,-120.461438822412
265,-120.461438822393
266,-120.461438822251
267,-120.461438822201
268,-120.461438822195
269,-120.461438822387
270,-120.461438821619
271,-120.461438822199
272,-120.461438822397
273,-120.461438821745
274,-120.461438822323
275,-120.461438822387
276,-120.46143882156
277,-120.461438822339
278,-120.461438822322
279,-120.461438822296
280,-120.461438822398
281,-120.46143882233
282,-120.461438822165
283,-120.461438822397
284,-120.461438822321
285,-120.461438822397
286,-120.461438822391
287,-120.461438822405
288,-120.461438822395
289,-120.46143882241
290,-120.461438822333
291,-120.461438822381
292,-120.461438822378
293,-120.461438822398
294,-120.461438822406
295,-120.461438822357
296,-120.461438822058
297,-120.461438821553
298,-120.461438822358
299,-120.461438822178
300,-120.461438821525
301,-120.461438822331
302,-120.461438822022
303,-120.461438822282
304,-120.461438822322
305,-120.461438822377
306,-120.46143882234
307,-120.461438821584
308,-120.461438822402
309,-120.461438822041
310,-120.46143882239
311,-120.461438821671
312,-120.461438822293
313,-120.461438822198
314,-120.461438821558
315,-120.461438822386
316,-120.461438822409
317,-120.461438822401
318,-120.461438822304
319,-120.4614388224
320,-120.461438822408
321,-120.461438822275
322,-120.461438822412
323,-120.461438822377
324,-120.461438822393
325,-120.461438822213
326,-120.461438822409
327,-120.461438822413
328,-120.461438822361
329,-120.461438822312
330,-120.461438821888
331,-120.461438822393
332,-120.461438822267
333,-120.461438822385
334,-120.461438822408
335,-120.46143882186
336,-120.461438822411
337,-120.461438822164
338,-120.46143882201
339,-120.461438822281
340,-120.461438822406
341,-120.461438822278
342,-120.461438821894
343,-120.461438822408
344,-120.461438822383
345,-120.461438821823
346,-120.4614388224
347,-120.461438822399
348,-120.461438822239
349,-120.461438822394
350,-120.461438822211
351,-120.461438822285
352,-120.461438822363
353,-120.461438822385
354,-120.461438822256
355,-120.461438822352
356,-120.461438822161
357,-120.461438821716
358,-120.4614388224
359,-120.461438822408
360,-120.461438822309
361,-120.461438822409
362,-120.461438822111
363,-120.461438822406
364,-120.46143882185
365,-120.461438821837
366,-120.461438822228
367,-120.461438822221
368,-120.461438822405
369,-120.461438822392
370,-120.461438822099
371,-120.461438822408
372,-120.461438821997
373,-120.461438821869
374,-120.461438822411
375,-120.461438822413
376,-120.461438822035
377,-120.461438821497
378,-120.461438822394
379,-120.461438822394
380,-120.461438822338
381,-120.461438822397
382,-120.461438822388
383,-120.461438821973
384,-120.461438821752
385,-120.461438822367
386,-120.4614388224
387,-120.461438821966
388,-120.461438822382
389,-120.46143882232
390,-120.461438822358
391,-120.46143882242
392,-120.4614388217
393,-120.461438822377
394,-120.461438822404
395,-120.461438821612
396,-120.461438822307
397,-120.461438822311
398,-120.461438821647
399,-120.461438822369
400,-120.461438821581
401,-120.46143882203
402,-120.461438821648
403,-120.461438822143
404,-120.461438821758
405,-120.461438821901
406,-120.461438821915
407,-120.461438822409
408,-120.461438822413
409,-120.461438822408
410,-120.46143882204
411,-120.461438822266
412,-120.461438822403
413,-120.461438822396
414,-120.461438822403
415,-120.461438822412
416,-120.461438822415
417,-120.461438822378
418,-120.461438822259
419,-120.46143882241
420,-120.461438822197
421,-120.461438822084
422,-120.46143882231
423,-120.461438822373
424,-120.461438822347
425,-120.461438822352
426,-120.461438822375
427,-120.461438822383
428,-120.461438822379
429,-120.461438822249
430,-120.461438822354
431,-120.461438821537
432,-120.46143882225
433,-120.461438822401
434,-120.46143882241
435,-120.461438822307
436,-120.461438822281
437,-120.461438822293
438,-120.461438822397
439,-120.461438822404
440,-120.461438822396
441,-120.461438822411
442,-120.461438822414
443,-120.461438821833
444,-120.46143882212
445,-120.461438822404
446,-120.46143882237
447,-120.461438822411
448,-120.461438821912
449,-120.461438822137
450,-120.461438821949
451,-120.461438822299
452,-120.461438822375
453,-120.46143882241
454,-120.461438822407
455,-120.461438822404
456,-120.461438822415
457,-120.461438822401
458,-120.46143882192
459,-120.461438822409
460,-120.461438822013
461,-120.461438822394
462,-120.461438822209
463,-120.461438822269
464,-120.461438822402
465,-120.46143882187
466,-120.461438822405
467,-120.461438822411
468,-120.461438822419
469,-120.46143882232
470,-120.461438822331
471,-120.46143882236
472,-120.461438822396
473,-120.461438821536
474,-120.461438822413
475,-120.461438821552
476,-120.461438822396
477,-120.461438822367
478,-120.461438822361
479,-120.461438821652
480,-120.461438821561
481,-120.461438822402
482,-120.461438822411
483,-120.461438822408
484,-120.46143882235
485,-120.461438822391
486,-120.461438822393
487,-120.461438822367
488,-120.461438822402
489,-120.461438822157
490,-120.461438822386
491,-120.4614388224
492,-120.461438821847
493,-120.461438822332
494,-120.461438822167
495,-120.461438822411
496,-120.461438822392
497,-120.461438822403
498,-120.461438821968
499,-120.461438822326
500,-120.46143882241
501,-120.461438822375
502,-120.46143882226
503,-120.461438821603
504,-120.461438822157
505,-120.461438822185
506,-120.461438822308
507,-120.46143882234
508,-120.461438822293
509,-120.461438822346
510,-120.461438822217
511,-120.461438822388
512,-120.461438822338
513,-120.461438822393
514,-120.461438822361
515,-120.461438822369
516,-120.46143882241
517,-120.461438822377
518,-120.461438822411
519,-120.461438822411
520,-120.461438822405
521,-120.46143882191
522,-120.461438822408
523,-120.461438821951
524,-120.461438822408
525,-120.46143882241
526,-120.461438822399
527,-120.461438822412
528,-120.461438822411
529,-120.461438822394
530,-120.461438821882
531,-120.461438822413
532,-120.461438821439
533,-120.461438822026
534,-120.461438821788
535,-120.461438822403
536,-120.461438822277
537,-120.461438822411
