"param_row","AIC"
1,-120.572338474111
2,-120.572338474031
3,-120.572338474153
4,-120.572338474158
5,-120.572338474081
6,-120.5723384741
7,-120.572338474085
8,-120.572338474031
9,-120.572338473292
10,-120.572338474089
11,-120.572338473241
12,-120.572338473667
13,-120.572338474054
14,-120.572338473951
15,-120.572338474174
16,-120.572338473441
17,-120.572338474092
18,-120.572338474053
19,-120.572338473389
20,-120.572338473949
21,-120.572338473419
22,-120.572338473272
23,-120.572338472874
24,-120.572338472778
25,-120.572338474133
26,-120.572338474082
27,-120.572338473242
28,-120.572338472921
29,-120.572338474069
30,-120.572338473064
31,-120.572338474051
32,-120.572338473929
33,-120.572338474106
34,-120.572338474039
35,-120.572338474148
36,-120.572338472582
37,-120.572338473266
38,-120.572338473323
39,-120.572338473664
40,-120.572338472838
41,-120.572338474017
42,-120.572338474055
43,-120.57233847419
44,-120.572338474192
45,-120.572338473531
46,-120.572338474028
47,-120.572338474003
48,-120.572338474044
49,-120.57233847408
50,-120.572338474195
51,-120.572338474168
52,-120.572338474076
53,-120.572338474136
54,-120.572338473223
55,-120.572338474181
56,-120.572338474092
57,-120.572338474193
58,-120.572338474119
59,-120.572338474165
60,-120.572338472633
61,-120.572338473939
62,-120.572338473928
63,-120.572338473582
64,-120.572338474075
65,-120.572338474051
66,-120.572338474115
67,-120.572338472962
68,-120.572338473738
69,-120.572338473862
70,-120.572338474121
71,-120.572338474151
72,-120.57233847409
73,-120.572338473893
74,-120.572338474045
75,-120.572338472841
76,-120.572338474063
77,-120.572338473156
78,-120.572338474074
79,-120.5723384738
80,-120.572338473621
81,-120.572338473076
82,-120.572338472818
83,-120.572338474167
84,-120.572338473535
85,-120.572338473185
86,-120.572338473262
87,-120.572338473528
88,-120.5723384741
89,-120.572338474054
90,-120.572338472931
91,-120.572338474129
92,-120.572338474125
93,-120.57233847373
94,-120.572338473983
95,-120.572338474129
96,-120.572338472774
97,-120.572338473534
98,-120.572338474082
99,-120.572338474053
100,-120.57233847407
101,-120.572338473766
102,-120.572338474161
103,-120.572338472907
104,-120.572338473961
105,-120.572338473267
106,-120.572338474049
107,-120.572338474159
108,-120.572338473115
109,-120.572338474157
110,-120.572338474179
111,-120.572338473008
112,-120.572338473512
113,-120.57233847396
114,-120.572338474085
115,-120.572338474166
116,-120.572338473073
117,-120.57233847379
118,-120.572338474187
119,-120.572338473908
120,-120.572338474147
121,-120.572338474074
122,-120.572338474136
123,-120.572338474145
124,-120.57233847397
125,-120.572338473892
126,-120.572338473975
127,-120.572338474185
128,-120.572338473992
129,-120.572338474102
130,-120.572338473867
131,-120.572338474034
132,-120.572338474136
133,-120.572338473374
134,-120.572338474076
135,-120.572338474061
136,-120.572338474191
137,-120.57233847306
138,-120.572338473404
139,-120.572338473056
140,-120.572338474069
141,-120.572338474011
142,-120.572338473005
143,-120.57233847405
144,-120.572338474084
145,-120.572338474079
146,-120.572338473993
147,-120.572338474127
148,-120.572338474147
149,-120.572338473943
150,-120.572338473453
151,-120.572338474183
152,-120.572338474149
153,-120.572338474118
154,-120.572338474185
155,-120.572338473
156,-120.572338474056
157,-120.572338473603
158,-120.572338474164
159,-120.572338474054
160,-120.57233847414
161,-120.572338473156
162,-120.572338473153
163,-120.572338474112
164,-120.572338474083
165,-120.572338474037
166,-120.572338474148
167,-120.572338474045
168,-120.572338473954
169,-120.572338473601
170,-120.572338473464
171,-120.57233847314
172,-120.572338474097
173,-120.572338474177
174,-120.572338474106
175,-120.572338474158
176,-120.572338474047
177,-120.572338474145
178,-120.572338473715
179,-120.572338472676
180,-120.572338474078
181,-120.57233847351
182,-120.572338474066
183,-120.572338474054
184,-120.572338473957
185,-120.572338474102
186,-120.572338474008
187,-120.572338473862
188,-120.572338473982
189,-120.572338472568
190,-120.57233847419
191,-120.572338473928
192,-120.572338473967
193,-120.572338473878
194,-120.572338474159
195,-120.572338474122
196,-120.572338474164
197,-120.572338473498
198,-120.572338474065
199,-120.572338474052
200,-120.572338473991
201,-120.572338473953
202,-120.572338472943
203,-120.572338473077
204,-120.572338474119
205,-120.572338473586
206,-120.572338474147
207,-120.572338472636
208,-120.572338474076
209,-120.57233847304
210,-120.572338473507
211,-120.572338474016
212,-120.572338473834
213,-120.572338472748
214,-120.57233847404
215,-120.572338472999
216,-120.572338473246
217,-120.572338474066
218,-120.572338474173
219,-120.572338474032
220,-120.572338473996
221,-120.572338474186
222,-120.572338473919
223,-120.572338472967
224,-120.572338474174
225,-120.572338473772
226,-120.572338473391
227,-120.572338473785
228,-120.572338474164
229,-120.572338473194
230,-120.572338473755
231,-120.572338474043
232,-120.572338473343
233,-120.572338473946
234,-120.572338473968
235,-120.572338474135
236,-120.572338474179
237,-120.572338474147
238,-120.572338474187
239,-120.5723384733
240,-120.572338474181
241,-120.572338474165
242,-120.572338474151
243,-120.572338473002
244,-120.572338474162
245,-120.572338474156
246,-120.572338473143
247,-120.572338474051
248,-120.572338473995
249,-120.572338473543
250,-120.572338474139
251,-120.572338474112
252,-120.572338474183
253,-120.572338473744
254,-120.572338472668
255,-120.572338474135
256,-120.572338474063
257,-120.572338474173
258,-120.572338474144
259,-120.572338473932
260,-120.572338472927
261,-120.572338474009
262,-120.572338473104
263,-120.572338474084
264,-120.572338474176
265,-120.572338474126
266,-120.57233847381
267,-120.572338473805
268,-120.572338474046
269,-120.572338473268
270,-120.572338474172
271,-120.572338473937
272,-120.572338474035
273,-120.572338474042
274,-120.572338474003
275,-120.572338473587
276,-120.572338472819
277,-120.572338473651
278,-120.572338473827
279,-120.572338474008
280,-120.572338472782
281,-120.572338473837
282,-120.57233847386
283,-120.572338474159
284,-120.572338474172
285,-120.572338473674
286,-120.572338473732
287,-120.572338474029
288,-120.572338473626
289,-120.57233847419
290,-120.572338473058
291,-120.572338473358
292,-120.572338474192
293,-120.572338474128
294,-120.572338473103
295,-120.572338474064
296,-120.572338473149
297,-120.572338473384
298,-120.572338472697
299,-120.572338474096
300,-120.57233847415
301,-120.572338474138
302,-120.572338474167
303,-120.572338474083
304,-120.572338473443
305,-120.572338473741
306,-120.572338474189
307,-120.572338474178
308,-120.572338474133
309,-120.572338474026
310,-120.572338474091
311,-120.572338474106
312,-120.57233847323
313,-120.572338474158
314,-120.572338472932
315,-120.572338473897
316,-120.572338473202
317,-120.572338474048
318,-120.57233847335
319,-120.572338474011
320,-120.572338474033
321,-120.572338474132
322,-120.572338474066
323,-120.572338473991
324,-120.572338474192
325,-120.572338472929
326,-120.572338473937
327,-120.57233847397
328,-120.572338474009
329,-120.572338473862
330,-120.572338474011
331,-120.572338474192
332,-120.572338473634
333,-120.572338474037
334,-120.57233847382
335,-120.572338474025
336,-120.572338473702
337,-120.572338474052
338,-120.57233847418
339,-120.572338473124
340,-120.572338474088
341,-120.572338473774
342,-120.572338473554
343,-120.572338474041
344,-120.572338474112
345,-120.572338474096
346,-120.572338474174
347,-120.57233847408
348,-120.572338474055
349,-120.57233847377
350,-120.57233847298
351,-120.572338474126
352,-120.572338474066
353,-120.572338474089
354,-120.57233847408
355,-120.572338473348
356,-120.572338474102
357,-120.572338474067
358,-120.572338474128
359,-120.572338473555
360,-120.57233847419
361,-120.572338474111
362,-120.572338473371
363,-120.572338474177
364,-120.57233847282
365,-120.572338474114
366,-120.572338473827
367,-120.572338473966
368,-120.572338474048
369,-120.572338473908
370,-120.57233847413
371,-120.57233847415
372,-120.572338473212
373,-120.572338474034
374,-120.572338474014
375,-120.572338474095
376,-120.57233847418
377,-120.572338473025
378,-120.572338474097
379,-120.57233847325
380,-120.572338473873
381,-120.57233847403
382,-120.572338474123
383,-120.572338474095
384,-120.572338474133
385,-120.572338474091
386,-120.57233847401
387,-120.572338474082
388,-120.572338473958
389,-120.572338474088
390,-120.572338473649
391,-120.572338474095
392,-120.572338472599
393,-120.572338474071
394,-120.572338473888
395,-120.572338474175
396,-120.572338474172
397,-120.572338472885
398,-120.572338473729
399,-120.572338474074
400,-120.572338474189
401,-120.572338473993
402,-120.572338474204
403,-120.572338474197
404,-120.572338473317
405,-120.572338473102
406,-120.572338472643
407,-120.572338473695
408,-120.572338474181
409,-120.572338474188
410,-120.572338474196
411,-120.572338474137
412,-120.57233847388
413,-120.572338474118
414,-120.572338474098
415,-120.5723384741
416,-120.572338474061
417,-120.572338474041
418,-120.572338474053
419,-120.572338474115
420,-120.572338474056
421,-120.57233847406
422,-120.572338474109
423,-120.572338474191
424,-120.57233847418
425,-120.572338474
426,-120.572338473175
427,-120.572338474192
428,-120.572338473859
429,-120.572338473966
430,-120.572338472974
431,-120.572338474172
432,-120.57233847415
433,-120.572338474157
434,-120.572338472897
435,-120.572338474172
436,-120.572338473084
437,-120.572338474154
438,-120.572338474187
439,-120.57233847336
440,-120.572338473511
441,-120.572338473957
442,-120.572338473381
443,-120.572338473662
444,-120.572338473766
445,-120.572338473515
446,-120.572338474103
447,-120.572338473559
448,-120.572338472723
449,-120.572338472917
450,-120.572338473998
451,-120.572338473706
452,-120.572338474161
453,-120.572338474074
454,-120.57233847416
455,-120.572338473136
456,-120.572338473997
457,-120.572338474025
458,-120.572338473379
459,-120.572338474009
460,-120.572338472953
461,-120.572338474222
462,-120.572338473012
463,-120.572338473751
464,-120.572338474105
465,-120.572338473633
466,-120.572338474182
467,-120.572338474043
468,-120.572338472644
469,-120.572338473472
470,-120.572338473727
471,-120.572338474193
472,-120.572338474153
473,-120.57233847403
474,-120.57233847372
475,-120.572338474102
476,-120.572338473903
477,-120.572338474014
478,-120.572338472851
479,-120.572338473857
480,-120.572338473406
481,-120.572338474079
482,-120.5723384739
483,-120.572338473709
484,-120.572338473921
485,-120.572338474196
486,-120.572338474182
487,-120.572338474084
488,-120.572338474172
489,-120.572338474113
490,-120.572338474157
491,-120.572338473656
492,-120.572338474133
493,-120.572338473308
494,-120.572338474156
495,-120.572338472819
496,-120.572338474091
497,-120.572338474186
498,-120.572338474024
499,-120.572338474071
500,-120.572338473653
501,-120.572338474186
502,-120.572338474143
503,-120.572338473991
504,-120.572338474045
505,-120.572338473094
506,-120.572338472821
507,-120.572338474195
508,-120.572338474165
509,-120.572338474129
510,-120.572338473464
511,-120.572338474166
512,-120.572338474047
513,-120.572338473711
514,-120.572338473952
515,-120.572338472588
516,-120.572338473707
517,-120.572338474137
518,-120.572338474101
519,-120.572338474077
520,-120.572338474012
521,-120.572338473477
522,-120.572338473823
523,-120.572338474175
524,-120.57233847417
525,-120.572338472839
526,-120.57233847419
527,-120.572338474013
528,-120.572338474184
529,-120.572338474183
530,-120.572338472684
531,-120.572338472672
532,-120.572338474195
533,-120.572338474192
534,-120.572338472946
535,-120.572338474134
536,-120.572338474174
537,-120.572338474065
538,-120.572338474176
539,-120.572338473732
540,-120.572338474198
541,-120.572338473933
542,-120.572338474164
543,-120.572338473069
544,-120.57233847415
545,-120.572338474156
546,-120.57233847403
547,-120.572338473389
548,-120.572338472714
549,-120.572338472926
550,-120.572338474183
551,-120.572338474177
552,-120.572338474162
553,-120.572338474101
554,-120.572338472551
555,-120.572338474094
556,-120.572338473958
557,-120.57233847404
558,-120.572338474048
559,-120.572338472883
560,-120.57233847409
561,-120.572338474006
562,-120.572338473356
563,-120.572338474037
564,-120.572338474052
565,-120.572338474105
566,-120.572338474164
567,-120.572338474189
568,-120.572338474169
569,-120.57233847398
570,-120.572338473024
571,-120.572338474183
572,-120.572338474194
573,-120.572338472681
574,-120.572338474088
575,-120.572338473712
576,-120.572338473044
577,-120.572338474115
578,-120.572338474129
579,-120.572338474116
580,-120.572338474108
581,-120.572338474181
582,-120.572338472716
583,-120.572338474045
584,-120.572338474131
585,-120.572338473169
586,-120.572338473668
587,-120.5723384741
588,-120.572338474012
589,-120.572338474073
590,-120.572338473028
591,-120.572338472902
592,-120.572338474182
593,-120.57233847415
594,-120.572338474054
595,-120.572338474072
596,-120.572338474043
597,-120.572338474068
598,-120.572338473247
599,-120.572338474048
600,-120.572338472999
601,-120.572338473824
602,-120.572338474036
603,-120.572338473614
604,-120.572338473771
605,-120.572338472962
606,-120.572338474038
607,-120.572338474058
608,-120.572338474009
609,-120.572338474168
610,-120.572338474099
611,-120.572338472774
612,-120.572338474108
613,-120.572338474083
614,-120.572338474174
615,-120.572338474065
616,-120.572338474195
617,-120.572338474043
618,-120.572338474059
619,-120.572338472969
620,-120.572338473898
621,-120.572338472882
622,-120.572338474063
623,-120.572338474162
624,-120.572338474123
625,-120.572338474101
626,-120.572338473966
627,-120.572338474069
628,-120.572338472973
629,-120.572338474051
630,-120.572338472906
631,-120.57233847259
632,-120.572338474074
633,-120.572338473113
634,-120.572338472832
635,-120.572338474098
636,-120.57233847302
637,-120.572338474146
638,-120.572338472944
639,-120.572338473712
640,-120.572338474132
641,-120.572338472912
642,-120.572338474019
643,-120.572338473926
644,-120.572338474079
645,-120.572338474048
646,-120.572338473791
647,-120.572338474081
648,-120.572338474112
649,-120.572338474166
650,-120.572338474169
651,-120.572338474042
652,-120.572338473098
653,-120.572338474072
654,-120.572338473768
655,-120.572338474192
656,-120.572338474139
657,-120.572338473409
658,-120.572338473984
659,-120.572338474187
660,-120.572338473708
661,-120.572338474122
662,-120.572338473716
663,-120.572338474066
664,-120.572338472936
665,-120.572338472899
666,-120.572338472912
667,-120.572338473133
668,-120.572338472913
669,-120.572338474191
670,-120.572338472592
671,-120.572338474102
672,-120.572338473111
673,-120.572338473341
674,-120.572338472663
675,-120.572338474095
676,-120.572338473814
677,-120.572338474152
678,-120.572338474103
679,-120.572338473634
680,-120.572338474183
681,-120.572338474116
682,-120.572338474166
683,-120.572338474097
684,-120.572338473955
685,-120.572338474081
686,-120.572338474122
687,-120.572338474053
688,-120.572338474171
689,-120.572338474126
690,-120.572338472695
691,-120.572338472667
692,-120.572338474172
693,-120.572338474132
694,-120.57233847397
695,-120.572338473774
696,-120.572338474095
697,-120.57233847327
698,-120.572338474136
699,-120.572338474153
700,-120.572338474159
701,-120.572338473894
702,-120.57233847415
703,-120.57233847417
704,-120.572338474143
705,-120.572338472701
706,-120.572338474183
707,-120.572338473889
708,-120.572338473925
709,-120.572338473359
710,-120.572338473982
711,-120.572338474061
712,-120.572338473861
713,-120.572338473133
714,-120.572338473968
715,-120.572338473863
716,-120.572338473894
717,-120.57233847413
718,-120.57233847405
719,-120.572338473154
720,-120.572338473852
721,-120.572338474025
722,-120.572338474098
723,-120.572338473067
724,-120.572338474178
725,-120.572338473879
726,-120.572338474044
727,-120.572338472805
728,-120.572338472997
729,-120.572338474139
730,-120.572338474182
731,-120.572338473169
732,-120.572338473868
733,-120.572338473573
734,-120.572338474088
735,-120.572338474154
736,-120.572338474039
737,-120.572338474021
738,-120.572338474094
739,-120.572338473385
740,-120.572338472674
741,-120.572338473072
742,-120.572338473221
743,-120.572338474085
744,-120.572338473874
745,-120.572338474175
746,-120.572338474139
747,-120.572338474076
748,-120.572338473184
749,-120.572338474057
750,-120.572338474094
