"param_row","AIC"
1,-727.023862747933
2,-727.023862747734
3,-727.02386274777
4,-727.023862747951
5,-727.02386274795
6,-727.023862747471
7,-727.023862747713
8,-727.02386274787
9,-727.023862747866
10,-727.02386274795
11,-727.023862747949
12,-727.023862747903
13,-727.02386274795
14,-727.023862747949
15,-727.023862747949
16,-727.023862747912
17,-727.023862747948
18,-727.023862747951
19,-727.023862747621
20,-727.023862747493
21,-727.023862747547
22,-727.023862747527
23,-727.023862747551
24,-727.023862747951
25,-727.023862747948
26,-727.023862747608
27,-727.023862747951
28,-727.023862747951
29,-727.023862747659
30,-727.02386274795
31,-727.023862747701
32,-727.02386274754
33,-727.02386274767
34,-727.023862747951
35,-727.023862747906
36,-727.023862747816
37,-727.023862747738
38,-727.023862747951
39,-727.023862747951
40,-727.023862747919
41,-727.023862747736
42,-727.023862747951
43,-727.023862747865
44,-727.023862747763
45,-727.023862747951
46,-727.023862747951
47,-727.023862747811
48,-727.02386274795
49,-727.023862747949
50,-727.023862747951
51,-727.023862747947
52,-727.02386274795
53,-727.023862747951
54,-727.02386274778
55,-727.023862747949
56,-727.02386274795
57,-727.023862747948
58,-727.023862747807
59,-727.02386274795
60,-727.02386274795
61,-727.023862747796
62,-727.02386274795
63,-727.023862747947
64,-727.023862747951
65,-727.023862747948
66,-727.02386274795
67,-727.023862747949
68,-727.023862747806
69,-727.023862747675
70,-727.023862747439
71,-727.023862747665
72,-727.02386274795
73,-727.023862747951
74,-727.023862747813
75,-727.02386274795
76,-727.02386274795
77,-727.023862747467
78,-727.02386274795
79,-727.023862747951
80,-727.02386274747
81,-727.02386274795
82,-727.023862747641
83,-727.023862747815
84,-727.023862747452
85,-727.023862747639
86,-727.023862747377
87,-727.02386274795
88,-727.023862747951
89,-727.02386274795
90,-727.023862747951
91,-727.023862747643
92,-727.023862747951
93,-727.023862747818
94,-727.023862747951
95,-727.02386274795
96,-727.023862747755
97,-727.023862747951
98,-727.02386274761
99,-727.023862747951
100,-727.023862747951
101,-727.023862747627
102,-727.02386274773
103,-727.023862747774
104,-727.023862747488
105,-727.023862747949
106,-727.023862747947
107,-727.023862747948
108,-727.023862747942
109,-727.023862747951
110,-727.023862747731
111,-727.02386274795
112,-727.023862747875
113,-727.023862747489
114,-727.023862747901
115,-727.023862747951
116,-727.023862747951
117,-727.02386274795
118,-727.023862747851
119,-727.023862747864
120,-727.023862747558
121,-727.023862747947
122,-727.023862747653
123,-727.023862747567
124,-727.023862747771
125,-727.023862747773
126,-727.023862747951
127,-727.023862747634
128,-727.02386274795
129,-727.023862747609
130,-727.023862747951
131,-727.02386274752
132,-727.02386274795
133,-727.023862747937
134,-727.023862747687
135,-727.023862747879
136,-727.023862747949
137,-727.02386274795
138,-727.02386274788
139,-727.023862747951
140,-727.023862747949
141,-727.023862747659
142,-727.023862747857
143,-727.023862747951
144,-727.023862747949
145,-727.02386274795
146,-727.023862747579
147,-727.023862747531
148,-727.02386274795
149,-727.02386274795
150,-727.023862747551
151,-727.023862747823
152,-727.023862747724
153,-727.023862747951
154,-727.023862747951
155,-727.023862747495
156,-727.023862747951
157,-727.023862747714
158,-727.023862747615
159,-727.023862747951
160,-727.023862747949
161,-727.023862747881
162,-727.02386274765
163,-727.023862747482
164,-727.02386274795
165,-727.02386274795
166,-727.023862747822
167,-727.02386274795
168,-727.023862747951
169,-727.023862747951
170,-727.023862747951
