"param_row","AIC"
1,-131.148445382175
2,-131.148445380842
3,-131.14844538097
4,-131.148445381775
5,-131.148445377708
6,-131.148445380862
7,-131.148445380503
8,-131.148445378743
9,-131.148445382035
10,-131.148445380662
11,-131.148445381054
12,-131.14844538104
13,-131.148445381666
14,-131.148445380515
15,-131.14844538013
16,-131.148445379772
17,-131.14844537925
18,-131.148445382251
19,-131.148445382121
20,-131.148445381169
21,-131.148445382268
22,-131.14844538215
23,-131.148445380198
24,-131.148445381945
25,-131.148445382307
26,-131.148445382193
27,-131.148445381397
28,-131.148445377757
29,-131.14844538235
30,-131.148445377127
31,-131.148445381724
32,-131.148445382203
33,-131.148445380427
34,-131.148445377907
35,-131.14844538221
36,-131.148445381582
37,-131.14844538053
38,-131.148445379386
39,-131.148445381252
40,-131.14844538222
41,-131.148445381369
42,-131.148445382248
43,-131.148445381487
44,-131.148445380962
45,-131.148445382236
46,-131.14844538069
47,-131.148445381
48,-131.148445381833
49,-131.148445382028
50,-131.148445381775
51,-131.148445377209
52,-131.148445379772
53,-131.148445381367
54,-131.148445381907
55,-131.148445379575
56,-131.148445382242
57,-131.148445381217
58,-131.148445381863
59,-131.148445377213
60,-131.14844537879
61,-131.148445380245
62,-131.14844538151
63,-131.14844538089
64,-131.148445381189
65,-131.148445381645
66,-131.148445380892
67,-131.148445381994
68,-131.148445382026
69,-131.148445382283
70,-131.148445382692
71,-131.148445379582
72,-131.148445381627
73,-131.148445382039
74,-131.148445380714
75,-131.148445380537
76,-131.148445381769
77,-131.148445382318
78,-131.148445380411
79,-131.148445378839
80,-131.148445381961
81,-131.148445381849
82,-131.148445380681
83,-131.148445382222
84,-131.148445382081
85,-131.148445382361
86,-131.148445381578
87,-131.148445381534
88,-131.148445382364
89,-131.148445382363
90,-131.148445381112
91,-131.148445381234
92,-131.148445379071
93,-131.14844538233
94,-131.148445380831
95,-131.148445381969
96,-131.148445379081
97,-131.148445382333
98,-131.148445382057
99,-131.148445381242
100,-131.148445377663
101,-131.148445382137
102,-131.148445380057
103,-131.148445380949
104,-131.148445381595
105,-131.148445378362
106,-131.148445381608
107,-131.148445381477
108,-131.148445380764
109,-131.148445382165
110,-131.148445382179
111,-131.148445381905
112,-131.148445382155
113,-131.148445381789
114,-131.148445382244
115,-131.148445382102
116,-131.148445381764
117,-131.148445380403
118,-131.148445381768
119,-131.148445381341
120,-131.148445380009
121,-131.148445382108
122,-131.148445381753
123,-131.148445377272
124,-131.148445377022
125,-131.14844538215
126,-131.148445379796
127,-131.14844538126
128,-131.148445381943
129,-131.148445380067
130,-131.148445381998
131,-131.148445381405
132,-131.148445382533
133,-131.148445377198
134,-131.148445378269
135,-131.148445381261
136,-131.148445381203
137,-131.14844538167
138,-131.148445380758
139,-131.148445382124
140,-131.148445380981
141,-131.148445380706
142,-131.148445381758
143,-131.148445381715
144,-131.148445381549
145,-131.14844538027
146,-131.148445380221
147,-131.148445382674
148,-131.148445382028
149,-131.148445382696
150,-131.148445381167
151,-131.148445381998
152,-131.148445380996
153,-131.148445382065
154,-131.148445381814
155,-131.148445381867
156,-131.148445381549
157,-131.148445381305
158,-131.14844538059
159,-131.148445379378
160,-131.148445381427
161,-131.148445382332
162,-131.148445381405
163,-131.148445381645
164,-131.1484453821
165,-131.148445377708
166,-131.148445381876
167,-131.148445382304
168,-131.148445381588
169,-131.148445382115
170,-131.14844538064
171,-131.148445379913
172,-131.148445381903
173,-131.148445382053
174,-131.148445379327
175,-131.148445380322
176,-131.148445381593
177,-131.148445382065
178,-131.148445381547
179,-131.148445382197
180,-131.148445382531
181,-131.148445382079
182,-131.148445381747
183,-131.148445381812
184,-131.148445381894
185,-131.148445379154
186,-131.148445381041
187,-131.14844538229
188,-131.148445380851
189,-131.148445381134
190,-131.148445382181
191,-131.148445381906
192,-131.148445381443
193,-131.148445380903
194,-131.148445381512
195,-131.148445382
196,-131.148445381417
197,-131.148445381659
198,-131.148445382147
199,-131.148445381038
200,-131.148445380632
201,-131.148445381229
202,-131.148445379474
203,-131.148445380977
204,-131.148445380963
205,-131.148445381603
206,-131.148445382232
207,-131.148445377925
208,-131.148445381959
209,-131.148445381674
210,-131.148445378521
211,-131.148445382143
212,-131.14844538194
213,-131.148445380187
214,-131.148445382302
215,-131.148445377565
216,-131.148445381998
217,-131.148445382098
218,-131.148445379397
219,-131.148445378456
220,-131.148445381836
221,-131.148445381746
222,-131.148445381809
223,-131.148445378249
224,-131.148445382302
225,-131.148445382258
226,-131.14844537901
227,-131.148445381542
228,-131.148445382054
229,-131.148445382179
230,-131.14844538107
231,-131.148445382172
232,-131.148445381428
233,-131.148445381468
234,-131.148445380043
235,-131.148445382333
236,-131.14844538159
237,-131.14844538117
238,-131.148445380961
239,-131.148445381579
240,-131.148445381365
241,-131.148445381746
242,-131.148445380269
243,-131.148445381992
244,-131.148445381312
245,-131.148445382115
246,-131.148445382209
247,-131.148445380657
248,-131.148445381459
249,-131.148445379735
250,-131.148445380331
251,-131.148445377895
252,-131.14844538182
253,-131.148445381067
254,-131.148445377435
255,-131.148445381882
256,-131.148445380248
257,-131.148445382108
258,-131.148445381395
259,-131.148445382291
260,-131.148445380858
261,-131.148445380547
262,-131.148445382116
263,-131.148445382169
264,-131.148445382087
265,-131.148445382282
266,-131.148445380543
267,-131.148445381951
268,-131.14844538063
269,-131.14844538009
270,-131.148445382358
271,-131.148445381381
272,-131.148445381583
273,-131.148445382577
274,-131.148445380437
275,-131.148445381802
276,-131.148445381018
277,-131.148445382295
278,-131.14844538194
279,-131.148445381652
280,-131.148445378894
281,-131.14844538125
282,-131.148445381249
283,-131.148445380092
284,-131.148445378207
285,-131.148445380578
286,-131.148445382097
287,-131.148445380511
288,-131.1484453823
289,-131.148445378247
290,-131.1484453813
291,-131.148445379798
292,-131.148445380531
293,-131.148445382304
294,-131.148445382293
295,-131.148445382336
296,-131.148445382204
297,-131.148445381455
298,-131.148445381347
299,-131.148445378933
300,-131.148445379188
301,-131.148445382235
302,-131.148445381524
303,-131.148445381879
304,-131.148445382013
305,-131.148445379746
306,-131.148445382228
307,-131.14844538227
308,-131.148445381868
309,-131.148445381504
310,-131.148445381171
311,-131.148445382286
312,-131.148445381231
313,-131.148445382448
314,-131.14844538184
315,-131.14844538072
316,-131.148445381351
317,-131.148445379575
318,-131.148445382201
319,-131.148445380603
320,-131.148445381716
321,-131.148445382384
322,-131.14844538209
323,-131.148445379806
324,-131.148445381975
325,-131.148445381952
326,-131.148445380241
327,-131.148445382192
328,-131.148445382176
329,-131.14844537738
330,-131.148445381849
331,-131.148445381785
332,-131.148445378114
333,-131.148445381272
334,-131.148445382008
335,-131.148445381247
336,-131.14844538088
337,-131.148445380041
338,-131.148445379688
339,-131.148445381397
340,-131.148445380958
341,-131.148445381357
342,-131.148445381943
343,-131.148445382102
344,-131.148445382095
345,-131.148445381886
346,-131.148445378258
347,-131.148445380837
348,-131.148445381573
349,-131.148445379353
350,-131.148445379119
351,-131.148445379106
352,-131.148445381833
353,-131.14844538148
354,-131.14844538071
355,-131.148445382322
356,-131.148445381824
357,-131.148445380603
358,-131.1484453813
359,-131.148445378918
360,-131.148445381522
361,-131.148445379204
362,-131.148445382109
363,-131.148445379932
364,-131.148445381496
365,-131.148445382229
366,-131.148445381168
367,-131.148445381332
368,-131.14844538225
369,-131.148445382275
370,-131.148445382029
371,-131.148445382281
372,-131.148445379583
373,-131.148445381238
374,-131.148445381712
375,-131.148445381981
376,-131.148445381269
377,-131.148445381956
378,-131.148445382198
379,-131.148445380948
380,-131.148445377311
381,-131.14844538189
382,-131.148445380975
383,-131.148445381231
384,-131.148445380981
385,-131.148445377537
386,-131.14844538047
387,-131.148445380019
388,-131.148445380758
389,-131.148445378845
390,-131.14844538125
391,-131.148445379071
392,-131.148445381894
393,-131.148445380687
394,-131.148445381388
395,-131.148445382152
396,-131.148445382312
397,-131.148445382065
398,-131.148445380662
399,-131.148445380965
400,-131.148445378396
401,-131.148445381414
402,-131.148445382089
403,-131.14844538125
404,-131.148445380743
405,-131.148445382048
406,-131.148445381833
407,-131.148445381368
408,-131.148445379901
409,-131.148445381573
410,-131.148445381878
411,-131.148445382046
412,-131.148445379489
