"ID","R2","AIC","BIC"
39835,0.903420731136693,-100.320091210878,-100.161208127519
39836,0.99981047796959,-195.128782868223,-194.523612682235
39837,0.994907377516963,-171.174772415863,-170.569602229875
39838,0.99944423463229,-203.459533559537,-202.854363373549
39839,0.986478373348897,-182.486924169149,-181.881753983161
39840,0.375897681264349,-12.3871896214016,-9.22015174448943
39841,0.688026902049438,-33.6114302621907,-30.1842861287821
39842,0.463510013473096,4.04488975944003,7.09761080867236
39843,0.750230991769161,-25.2298286768144,-22.565419656464
39844,0.662305817724503,-25.4279158730438,-21.9525766364771
39845,0.640795231999856,-14.444992707219,-12.0888850465231
39846,0.389565202412194,-10.4551408637574,-8.18415243189908
39847,0.649467642856862,-32.1939080033074,-29.3259335943372
39848,0.596346756737684,-10.4581204333027,-8.02036878356634
39849,0.548020638025789,-11.4063140655672,-9.31726919012036
39850,0.636005348863721,-22.785777277219,-20.8968993188862
39851,0.791582506301257,-111.738033067374,-112.519157242506
39852,0.987096007966625,-121.489864336679,-122.270988511811
39853,0.828368529210501,-105.542312879963,-106.323437055094
39854,0.935032206503611,-111.640586470105,-112.421710645237
39855,0.839546906605792,-119.297711212411,-120.078835387543
39856,0.680016667783794,-102.510839404031,-103.291963579163
39857,0.972114736307968,-109.444692227637,-110.225816402769
39858,0.854355276282864,-99.7760951220131,-100.557219297145
39859,0.814908383980075,-127.72104640843,-128.502170583561
39860,0.878364759959593,-111.439180198456,-112.220304373588
39861,0.659222350622099,-108.513015108522,-109.294139283654
39862,0.924789965837108,-113.223444912002,-114.004569087134
39863,0.957149233118576,-70.2403861619626,-71.0215103370944
39864,0.965552662170422,-74.0773111492326,-74.8584353243644
39865,0.975131251088342,-82.8864977281545,-83.6676219032863
39866,0.970267653223651,-73.122094561202,-73.9032187363338
39867,0.981647250762895,-82.9109193122355,-83.6920434873673
39868,0.931226326885102,-84.0843387750249,-84.5008198365688
39869,0.930320569461611,-72.5769448092469,-72.9934258707908
39870,0.989836826982312,-82.6139240105378,-83.0304050720817
39871,0.927437078616567,-68.1484220941687,-68.5649031557126
39873,0.935431096690194,-94.5717023563565,-94.9881834179004
39874,0.963965127370909,-86.3058757323661,-86.72235679391
39875,0.833912225297194,-73.5745342624586,-73.9910153240025
39876,0.919186470239536,-68.254237858564,-68.6707189201079
39877,0.961865278111957,-71.3607978720047,-71.7772789335486
39878,0.971415850173199,-101.217587553599,-101.634068615143
39879,0.979830762169861,-95.9356418107944,-96.3521228723383
39880,0.948579061673742,-79.9809651145895,-80.3974461761334
39881,0.982180922777089,-83.6676667836755,-84.0841478452194
39882,0.98398601959339,-80.2787008060536,-80.6951818675975
39883,0.947945546627018,-846.264560008597,-842.440513997741
39884,0.931291862363075,-101.226553243635,-102.007677418767
39885,0.549024203704639,-107.345447236935,-107.761928298479
39886,0.903863231421163,-100.825514671446,-101.606638846578
39887,0.964735897843429,-96.5067393470106,-97.2878635221424
39888,0.814840540737997,-63.150081693057,-64.3774929708172
39889,0.982594426688039,-65.2052815921872,-66.4326928699474
39890,0.775871226150737,-89.8156958400396,-90.2321769015835
39891,0.837482248765277,-89.859600999418,-90.2760820609619
39892,0.894633129906993,-255.338799503255,-253.449921544922
39893,0.828831180318885,-274.796537505199,-273.015793989407
39894,0.971890786829134,-111.196443699041,-111.304623400931
39895,0.98511791579722,-119.559721016727,-119.400837933368
39896,0.889239364558964,-117.470590432489,-117.31170734913
39897,0.794903888781783,-121.880051944562,-121.721168861202
39898,0.996288367501775,-131.575538723519,-131.41665564016
39899,0.976779987898451,-119.996686216512,-119.837803133152
39900,0.982560041719671,-130.569741095485,-130.410858012125
39901,0.889249988524586,-106.634966783826,-106.476083700466
39902,0.595596106592107,-113.741026678087,-113.582143594728
39903,0.115086414726305,-110.773957491541,-110.615074408181
39904,0.986051076501984,-121.930460379481,-121.771577296122
39905,0.972975707012048,-120.46143882242,-120.302555739061
39906,0.959533650187038,-130.222756637216,-130.063873553856
39907,0.796576585098923,-182.324118453805,-180.142033547089
39908,0.958034545013899,-155.261166492931,-155.102283409571
39909,0.985481921405841,-145.548842177864,-145.389959094504
39910,0.742631041068044,761.038876007388,764.416634915615
39911,0.58735354351919,780.034527905877,783.509867142443
39912,0.985860546033167,-83.2565717496177,-83.097688666258
39913,0.985635770221776,-69.578025946778,-70.8054372245382
39914,0.650070858256701,41.8370007521395,42.6327912977362
39915,0.717839500606239,-78.1965567357642,-77.2267434361882
39916,0.922304134186466,-27.0821365791612,-27.1903162810506
39917,0.995740761161616,-79.5839908211318,-80.3651149962636
39918,0.892048973085781,-63.0468490136273,-62.6523998589549
39919,0.999796198098207,-78.0430868106334,-78.8242109857652
39920,0.99850562953171,-67.984329266261,-68.7654534413928
39921,0.936362401281473,-55.4773175064073,-56.2584416815391
39922,0.963612610777415,-63.2756622522965,-64.0567864274282
39923,0.962805358899027,-69.9758618676808,-70.7569860428126
