"ID","R2","AIC","BIC"
39835,0.928422260299948,-98.7167310713803,-98.3989649046609
39836,0.999823690523522,-191.851427200844,-190.641086828868
39837,0.995479756517884,-168.367043019496,-167.15670264752
39838,0.999449040535411,-199.546383211589,-198.336042839613
39839,0.997173461551354,-194.139299947653,-192.928959575676
39840,0.415608512089781,-10.7539452897457,-4.41986953592128
39841,0.71007211250198,-32.616104246142,-25.7618159793247
39842,0.553125746573578,1.83068750093462,7.93612959939927
39843,0.743984571370593,-20.538195438512,-15.2093773978112
39844,0.672815837418294,-22.755850833576,-15.8051723604425
39845,0.633835372995546,-9.98442256607669,-5.27220724468491
39846,0.465504602396588,-9.51065329139076,-4.96867642767416
39847,0.694378657995248,-32.4441979730312,-26.7082491550906
39848,0.617889720175673,-7.82929400989246,-2.95379071041966
39849,0.641573487743382,-12.2764842756245,-8.0983945247308
39850,0.790642814724667,-29.2946271008978,-25.516871184232
39851,0.936617732608664,-113.689828672724,-115.252077022987
39852,0.997469234457356,-125.634938738937,-127.197187089201
39853,0.947980698646269,-107.510986564249,-109.073234914513
39854,0.951831098214087,-109.136476673925,-110.698725024189
39855,0.894899499749229,-117.413134258555,-118.975382608819
39856,0.992022819538421,-116.969258825041,-118.531507175305
39857,0.996064997948624,-115.235627042755,-116.797875393019
39858,0.891201110110917,-97.2344407512056,-98.7966891014692
39859,0.906158670642236,-127.117274177252,-128.679522527515
39860,0.993661487996736,-122.211093645501,-123.773341995764
39861,0.882940319968983,-109.855746706071,-111.417995056334
39862,0.986472990341665,-117.801426176805,-119.363674527069
39863,0.994774494631076,-76.7612462983003,-78.323494648564
39864,0.998210557287952,-84.8649485531938,-86.4271969034574
39865,0.994172593185856,-86.1416969798478,-87.7039453301114
39866,0.981845346928544,-71.5886379350624,-73.150886285326
39867,0.999790957374129,-101.285901720934,-102.848150071198
39868,0.953409116014611,-82.4208354598013,-83.2537975828891
39869,0.962196913297534,-72.2460312206338,-73.0789933437216
39870,0.994380534720809,-82.1691291202759,-83.0020912433637
39871,0.984511616301495,-73.4146046689944,-74.2475667920822
39873,0.965703859754967,-94.3679029769818,-95.2008651000695
39874,0.97150804707177,-83.7150684906613,-84.5480306137491
39875,0.914048244865147,-73.5269158215161,-74.3598779446039
39876,0.954088208807353,-67.6467724159729,-68.4797345390607
39877,0.986909807643669,-73.7763694402564,-74.6093315633442
39878,0.973515160670085,-97.6752669165005,-98.5082290395883
39879,0.965784465016101,-88.7645145131312,-89.597476636219
39880,0.940823531212673,-75.1380939572383,-75.971056080326
39881,0.984036073896909,-80.3272952593073,-81.1602573823951
39882,0.983468462920337,-76.0878541341419,-76.9208162572297
39883,0.975662846538894,-880.278870969077,-872.630778947364
39884,0.999670611462056,-123.928477756644,-125.490726106908
39885,0.756790442042371,-107.050388564011,-107.883350687099
39886,0.999184238909996,-120.672542666575,-122.234791016838
39887,0.970740387610976,-93.4400261573035,-95.0022745075671
39888,1,-Inf,-Inf
39889,1,-Inf,-Inf
39890,0.902759009503371,-90.8258664466186,-91.6588285697064
39891,0.935127429867627,-91.3697750873796,-92.2027372104674
39892,0.981766627537678,-284.668498697459,-280.890742780793
39893,0.918207846459869,-284.08897955153,-280.527492519945
39894,0.967436715829108,-106.166827644469,-106.383187048248
39895,0.990987946871181,-119.572482369473,-119.254716202754
39896,0.938651315257413,-118.19697205686,-117.879205890141
39897,0.824011153049469,-119.104516592957,-118.786750426238
