"ID","Agree","Best_lm"
"40084","1","lm3"
"40085","1","lm3"
"40086","0","HollT2"
"40087","0","lm2"
"40088","0","lm2"
"40089","0","lm2"
"40090","0","HollT2"
"40091","0","lm2"
"40092","0","HollT2"
"40093","1","lm3"
"40094","0","lm2"
"40095","1","lm3"
"40096","1","lm3"
"40097","1","lm3"
"40098","0","HollT2"
"40099","0","lm2"
"40100","0","HollT2"
"40101","0","HollT2"
"40102","0","lm2"
"40103","0","HollT2"
"40104","0","HollT2"
"40105","1","lm3"
"40106","1","lm3"
"40107","1","lm3"
"40108","0","HollT2"
"40109","0","lm3"
"40110","0","HollT2"
"40111","1","lm3"
"40112","1","lm3"
"351","1","lm3"
"814","0","lm2"
"71","0","HollT2"
"445","1","lm3"
"3","1","lm3"
"2","1","lm3"
"450","1","lm3"
"140","0","lm2"
"79","0","lm2"
"713","0","HollT2"
"708","1","lm3"
"920","1","HollT2"
"721","1","lm3"
"687","1","lm3"
"691","0","HollT2"
"6","0","HollT2"
"695","1","lm3"
"40114","1","lm3"
"40115","1","HollT2"
"40116","0","HollT2"
"40117","0","HollT2"
"40118","0","HollT2"
"40119","0","HollT2"
"40120","1","lm3"
"40121","1","lm3"
"40122","0","lm2"
"40123","1","HollT2"
"40124","0","HollT2"
"40125","0","lm2"
"40126","1","lm3"
"40127","0","HollT2"
"40128","0","lm2"
"40129","0","HollT2"
"40130","1","HollT2"
