"ID","R2","AIC","BIC"
39835,0.928422260299948,-100.71673107138,-100.478406446341
39836,0.999325094081236,-180.428102584977,-179.520347305995
39837,0.994797420774145,-168.961156544781,-168.053401265799
39838,0.999441156637959,-201.404303377442,-200.496548098459
39839,0.995162936628806,-190.766749996257,-189.858994717275
39840,0.404504426096685,-12.0763229797263,-7.32576616435797
39841,0.642161149693298,-25.9876330085069,-20.846916808394
39842,0.551630008908555,-0.0557007596057417,4.52338081424274
39843,0.727759879384102,-20.8176860886439,-16.8210725581183
39844,0.64198540980486,-20.9737281697129,-15.7607193148628
39845,0.630121870510199,-11.7422496350324,-8.20808814398851
39846,0.465112223274543,-11.4937749255651,-8.08729227777769
39847,0.636420966263285,-29.0610539748322,-24.7590923613768
39848,0.614135903768685,-9.58489482029344,-5.92826734568884
39849,0.640023751075614,-14.1858818384856,-11.0523145253153
39850,0.691115964360625,-23.905069133278,-21.0717521957787
39851,0.873391087065785,-112.230234765837,-113.401921028534
39852,0.985650681021831,-118.95903553835,-120.130721801048
39853,0.90364589048863,-106.428910482907,-107.600596745605
39854,0.938776666164764,-109.937402838912,-111.109089101609
39855,0.873795366972452,-118.49819614061,-119.669882403308
39856,0.659452038512725,-100.199404083461,-101.371090346159
39857,0.972195639942824,-107.459219833738,-108.630906096436
39858,0.85745029729685,-97.8834927579549,-99.0551790206526
39859,0.876952019837994,-127.762429219919,-128.934115482617
39860,0.913336912586935,-111.134173638939,-112.305859901637
39861,0.819823715556275,-109.699487510224,-110.871173772922
39862,0.922161493179425,-111.051686912267,-112.223373174964
39863,0.986123415308362,-73.8779895451904,-75.0496758078881
39864,0.968005098679979,-72.4465869580501,-73.6182732207478
39865,0.98959788702586,-85.2445127047958,-86.4161989674935
39866,0.978876083212691,-72.83124293426,-74.0029291969577
39867,0.981042733928714,-80.7488797801682,-81.9205660428659
39868,0.952360202565495,-84.2872539011432,-84.9119754934591
39869,0.909934165578968,-69.0371303902385,-69.6618519825543
39870,0.994332393534808,-84.1179468696269,-84.7426684619428
39871,0.909942150205581,-64.8524330578981,-65.4771546502139
39873,0.955383568601287,-94.7894866390939,-95.4142082314097
39874,0.97034991051173,-85.4760077931611,-86.1007293854769
39875,0.771220578432584,-69.6530828451878,-70.2778044375037
39876,0.938659254353488,-67.9084383653766,-68.5331599576924
39877,0.977333781335384,-72.4822951794826,-73.1070167717984
39878,0.973383462625397,-99.6455053571088,-100.270226949425
39879,0.952422143461701,-88.7863884691598,-89.4111100614756
39880,0.928533619071745,-76.0058749603711,-76.6305965526869
39881,0.974656105174192,-79.554057413983,-80.1787790062988
39882,0.975444904918872,-75.7139572729331,-76.3386788652489
39883,0.972238191078946,-875.696012735724,-869.95994371944
39884,0.96100415871883,-102.058616430438,-103.230302693135
39885,0.454598938535683,-104.204800765073,-104.829522357389
39886,0.987213359384307,-108.912369302898,-110.084055565595
39887,0.970526707906777,-95.4036443967113,-96.575330659409
39888,0.848471574387333,-61.9518583355392,-63.7929752521795
39889,0.989124265154519,-65.086306846302,-66.9274237629423
39890,0.894049789081337,-92.3112048069109,-92.9359263992267
39891,0.74084697907091,-85.0598121946328,-85.6845337869486
39892,0.971917302184632,-278.462397104938,-275.629080167438
39893,0.912768809612813,-284.930128060856,-282.259012787167
39894,0.907782344157165,-100.8800642023,-101.042333755134
39895,0.983139262852468,-116.561084326241,-116.322759701201
39896,0.937717645560511,-120.07613671274,-119.837812087701
39897,0.812770344398857,-120.609193835047,-120.370869210008
39898,0.999219332523464,-142.048161062696,-141.809836437656
39899,0.993953177376248,-128.760538612602,-128.522213987563
39900,0.98398462926682,-129.251461850527,-129.013137225488
39901,0.987331265017025,-121.980073717289,-121.741749092249
39902,0.575182942577857,-111.347070610787,-111.108745985747
39903,0.082810218476971,-108.487362183602,-108.249037558563
39904,0.992942667484501,-125.381141877445,-125.142817252406
39905,0.974354702286345,-118.880446598166,-118.642121973127
39906,0.946794885113129,-126.033286426959,-125.79496180192
39907,0.827956929227421,-184.01010268018,-180.736975320105
39908,0.85185040501967,-143.170160407701,-142.931835782661
39909,0.976789216230042,-139.795063650391,-139.556739025352
39910,0.735517899996239,764.129391245161,769.196029607503
39911,0.635124841587457,776.867019037184,782.080027892034
39912,0.998512345892177,-99.2707204579906,-99.0323958329511
39913,0.999982772819565,-94.4820577773417,-96.323174693982
39914,0.501143503626103,47.7374664437837,48.9311522621788
39915,0.599164098145091,-71.9836439506832,-70.5289240013192
39916,0.806919658759063,-18.7100062746151,-18.8722758274492
39917,0.997608371751122,-80.4695711122276,-81.6412573749253
39918,0.991549958666125,-83.9744060452293,-83.3827323132206
39919,0.999815350078076,-76.53652048034,-77.7082067430377
39920,0.998820303582496,-67.1665687394551,-68.3382550021528
39921,0.991705581022714,-63.6654254775771,-64.8371117402748
39922,0.964847211457997,-61.4482538370185,-62.6199400997162
39923,0.935386810801767,-65.2145925545405,-66.3862788172382
39924,0.951121242575463,-141.963220231393,-142.587941823709
39925,0.821462776460264,-57.852830551481,-53.1022737361127
39926,0.998784563067777,-117.115015604511,-118.286701867208
39927,0.969087468649005,-105.100382481058,-106.272068743756
39928,0.969076662284725,-104.873781742408,-106.045468005106
39929,0.950669807547926,-101.696307610297,-102.867993872994
39931,0.962567718236401,-114.491938852951,-115.116660445267
39932,0.59866782609179,-67.1771038520867,-62.6875811676872
39933,0.606460883882586,-246.816514496867,-244.316874464699
39934,0.824949818345173,241.627313155216,244.298428428905
39935,0.970773583071373,-137.832954065369,-137.995223618203
39936,0.742416332692293,-92.6025591500313,-93.2272807423471
39937,0.98840281871717,-138.159117097292,-139.33080335999
39938,0.986759620471764,-140.026064221033,-141.197750483731
39939,0.760163646243123,-340.542466747142,-336.145259038743
39940,0.915684165780767,-1389.25226689803,-1382.10618699401
39941,0.894519283409039,-80.8131748873377,-80.221501155329
39942,0.682433536272283,-122.206455256898,-118.933327896823
39943,0.966991476650898,-56.9387090133689,-55.4839890640048
39944,0.831515836114983,-48.7770276543349,-45.242866163291
39945,0.909412865765961,-95.450955898118,-96.6226421608157
39946,0.994877862790409,-98.3064066632186,-99.4780929259163
39947,0.90755218938039,-226.408670606632,-225.214984788237
39948,0.848420910909942,-13.1568390234014,-14.3285252860991
39949,0.828395925889435,-23.0254973226686,-24.1971835853663
39950,0.895863714059943,-19.2207157395826,-20.3924020022803
39951,0.993198621426396,-114.97275360376,-115.597475196076
39952,0.994166688459831,-115.995696778105,-116.62041837042
39953,0.945994124662881,-94.6638952004732,-95.8355814631709
39954,0.989268680294608,-116.750231683936,-117.374953276252
39955,0.967251330295341,-122.217330586663,-122.379600139497
